product_id,product_name,category,unit_price
1,Wireless Earbuds Pro,Audio,89.99
2,Noise Cancelling Headphones,Audio,149.99
3,Portable Bluetooth Speaker,Audio,59.99
4,27-Inch 4K Monitor,Computing,329.99
5,Mechanical Keyboard,Computing,79.99
6,Wireless Mouse,Computing,29.99
7,"UltraBook Laptop 14""",Computing,999.99
8,Smartwatch Series 5,Wearables,199.99
9,Fitness Tracker Band,Wearables,49.99
10,4K Action Camera,Photography,249.99
11,Fast Charge Power Bank,Accessories,34.99
12,USB-C Charging Cable (2-pack),Accessories,14.99
